Name,Comment_text,Time,Likes,Reply Count
Firdaus Imtiaz,So heart touching 😭😭😭Faisal qureshi great actor❤️❤️❤️,2021-03-21T22:52:48Z,5,0
Usama Khan,Oh shit . My gf just sent me this song . I can&#39;t imagine she loved too deep😢,2021-03-21T22:51:29Z,3,3
ندا احمد,💔💔💔💔🤲🏻,2021-03-21T21:39:03Z,1,0
Kashif Hussain,Love from india,2021-03-21T21:31:08Z,0,0
manahil tariq,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,2021-03-21T19:13:04Z,0,0
king 4 m4,Mry dil ki awaz wo sun na saka ✍️✍️😒😒,2021-03-21T19:01:12Z,0,0
Tri Editx,I watch this drama only because of Wahaj ❤❤❤,2021-03-21T18:18:53Z,0,0
omer afiya,this song is my 1 love im verrry sad sad sad this song is my reyel life emoshans 😢😢,2021-03-21T17:46:04Z,1,0
Laraib Ali,Hr song main aima baig ko lena zaroori hai Kya ????,2021-03-21T17:41:23Z,0,0
Anuradha,Koi aisa drd de ki nikl jaye jaa😶,2021-03-21T17:22:51Z,0,0
Bulbul & Jenny Vlogs,Pakistani serial are so so sensible....and so heart touching story....🙏,2021-03-21T17:09:19Z,6,2
ILIYAS,Hard touching songs  Dil ko Chhu liya 😭😭😭😭😭,2021-03-21T17:01:25Z,0,0
Nasreen Ameen,Dil ka dard badh jata hai yeh gaaney se,2021-03-21T16:45:08Z,0,0
Laiba Zafar,uff plzz aap log Allah Rasul k nam p comment krna band kr den ...  likes k liye kuch bhi,2021-03-21T16:35:14Z,0,0
samra fahad,Fitoor title song is excellent and hamza and Faisal qureshi  are  acting too good in serial,2021-03-21T16:33:46Z,5,0
humza ali Ali,Hyeeeeee,2021-03-21T16:04:47Z,0,0
uzaif patel,"<a href=""https://www.youtube.com/watch?v=WHrcrfNAIqQ&amp;t=3m52s"">3:52</a> i found a ringtone for my phone❤️",2021-03-21T15:51:41Z,5,1
SOJRA’s MAGIC,Superb,2021-03-21T15:33:38Z,0,0
umar jeved,My favourite song,2021-03-21T15:27:42Z,0,0
Fozia Shahzadi,Best 👍,2021-03-21T15:12:55Z,0,0
Muhammad Shahzad,Is song me hr kisi ko kahen na kahen apna aks nzr ata haga,2021-03-21T15:02:39Z,2,0
